"case","dir","pretest","conftest","indtest","c12","c21","hill1","hill2","p_val","beta1","beta_h1","beta_h2","dirH","pretestH","conftestH","c12H","c21H","df1","df2","dfh"
1,1,0,0,0,0.491779487179487,0.477738461538462,0.340933592640913,0.370812198579924,0.184728901324962,0.17565940823406,0.380361479707062,0.495932655222714,NA,NA,NA,NA,NA,4,4,3
4,1,1,0,1,0.735946153846154,0.500671794871795,0.326417975335269,0.538475757806584,5.06261699229071e-14,0.198994258977473,0.34849158488214,0.115863089077175,1,1,0,0.731232480248754,0.494625757421418,4,2,3
3,1,1,0,1,0.789623076923077,0.506141025641026,0.361292382887556,0.399722786875163,0.11073860140035,0.23035777900368,0.83408438898623,0.44599295258522,NA,NA,NA,NA,NA,4,3,2
2,1,0,1,0,0.714951282051282,0.672797435897436,0.303134241497071,0.319625680872066,0.402527322346263,0.710915151424706,0.507622003555298,0.580511666461825,1,0,0,0.634061766265394,0.551780882805025,4,4,3
2,2,0,0,1,0.560617948717949,0.619776923076923,0.390388020742457,0.33890790306693,0.0259691388988976,0.668930708244443,0.385472801327705,0.529701456427574,1,0,0,0.526551868683034,0.524864657061993,4,3,3
2,2,0,0,0,0.525164102564103,0.544787179487179,0.499160172225888,0.546970487842414,0.148818099649542,0.533511511981487,0.229689655452967,0.603469881415367,2,0,0,0.541113513049451,0.544997726444021,2,2,4
3,1,1,1,0,0.969274358974359,0.671230769230769,0.367347772845731,0.348827252224313,0.413641580031899,0.89490018133074,0.509084866009653,0.447283162176609,NA,NA,NA,NA,NA,4,3,3
4,1,1,1,0,0.750587179487179,0.617253846153846,0.404948692642012,0.35391441383989,0.0338486998833496,0.128480921126902,0.232357502728701,0.164651249162853,1,1,1,0.758706217746042,0.593764832978406,3,4,4
3,1,1,1,1,0.996266666666667,0.884576923076923,0.527764267430307,0.402482776722726,2.43535272719253e-05,0.632866657152772,0.833892823569477,0.492920105159283,NA,NA,NA,NA,NA,2,4,2
3,1,1,0,1,0.915817948717949,0.533864102564103,0.379599819765756,0.493646263284175,4.21848026876948e-05,0.543965600430965,0.171348882094026,0.386574070900679,NA,NA,NA,NA,NA,3,2,3
